"year","sex","road_user","Sum(hospitalisations)","Sum(cases)","Sum(bed_days)","Sum(died_cases)"
2020,"intersex or indeterminate or missing","Car driver",3,3,24,0
2020,"intersex or indeterminate or missing","Car unknown position",1,1,2,0
2020,"intersex or indeterminate or missing","Pedal cyclist",1,1,1,0
2020,"intersex or indeterminate or missing","Pedestrian",1,1,2,0
2021,"Female","Bus occupant",109,109,442,0
2021,"Female","Car driver",6540,6540,23246,0
2021,"Female","Car passenger",2644,2644,12728,0
2021,"Female","Car unknown position",335,335,2723,0
2021,"Female","Heavy transport driver",11,11,40,0
2021,"Female","Heavy transport passenger",18,18,78,0
2021,"Female","Heavy transport unknown position",2,2,8,0
2021,"Female","Motorcyclist",972,972,4909,0
2021,"Female","Other or unknown",190,190,1645,0
2021,"Female","Pedal cyclist",1702,1702,4842,0
2021,"Female","Pedestrian",922,922,9732,0
2021,"Female","Pick-up truck or van occupant",70,70,239,0
2021,"Male","Bus occupant",60,60,311,0
2021,"Male","Car driver",6617,6617,37501,0
2021,"Male","Car passenger",1762,1762,8120,0
2021,"Male","Car unknown position",377,377,4004,0
2021,"Male","Heavy transport driver",367,367,2395,0
2021,"Male","Heavy transport passenger",38,38,159,0
2021,"Male","Heavy transport unknown position",33,33,152,0
2021,"Male","Motorcyclist",7757,7757,44134,0
2021,"Male","Other or unknown",402,402,2492,0
2021,"Male","Pedal cyclist",6337,6337,21441,0
2021,"Male","Pedestrian",1348,1348,12485,0
2021,"Male","Pick-up truck or van occupant",262,262,1591,0
2021,"intersex or indeterminate or missing","Pedal cyclist",1,1,1,0
